what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1438020221619
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1438020221634
started,bundle,org.jboss.ide.eclipse.as.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.core",1438020221634
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui",1438020221650
os,sysinfo,,,"win32",1438020221665
arch,sysinfo,,,"x86_64",1438020221665
ws,sysinfo,,,"win32",1438020221665
locale,sysinfo,,,"en_US",1438020221665
processors,sysinfo,,,"4",1438020221665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438020221665
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1438020221665
java.specification.name,sysinfo,,,"Java Platform API Specification",1438020221665
java.specification.vendor,sysinfo,,,"Oracle Corporation",1438020221665
java.specification.version,sysinfo,,,"1.7",1438020221665
java.vendor,sysinfo,,,"Oracle Corporation",1438020221665
java.version,sysinfo,,,"1.7.0_71",1438020221665
java.vm.info,sysinfo,,,"mixed mode",1438020221665
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1438020221665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438020221665
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1438020221665
java.vm.specification.version,sysinfo,,,"1.7",1438020221665
java.vm.vendor,sysinfo,,,"Oracle Corporation",1438020221665
java.vm.version,sysinfo,,,"24.71-b01",1438020221665
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1438020223351
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1438020223571
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1438020224773
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1438020224851
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1438020225100
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1438020225818
started,bundle,org.jboss.ide.eclipse.archives.core,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.core",1438020226407
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.archives.webtools",1438020226438
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.wtp.core",1438020226469
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1438020226828
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1438020226843
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1438020227468
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1438020227531
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1438020227531
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1438020227593
