what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1439479873344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1439479880617
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.remove.block.comment",1439479892818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1439479924962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1439479927946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1439479930364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439479935007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439479937462
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1439479940136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439479945971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480054791
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1439480063535
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1439480063564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1439480077057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1439480079146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1439480080457
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1439480088807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1439480088808
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1439480090570
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1439480092022
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1439480094313
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1439480096084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480098602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480100702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1439480102930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480108886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480175936
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1439480177252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439480199558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439485122817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439485123978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486581290
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1439486584155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486588913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486594403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486596181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486672684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1439486672706
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1439486687586
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1439486687799
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1439486693250
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1439486693381
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1439486693683
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1439486693992
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1439486694354
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1439486694449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486694950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486695289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439486737632
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1439486757048
